Rank,Module,Class,Kind,PmdSmells,LOC,NCSS,Methods,Path
1440,openjpa-lib,Configurable,interface,0,46,6,0,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/Configurable.java
1441,openjpa-lib,GraphVisitor,interface,0,47,6,0,openjpa-lib/src/main/java/org/apache/openjpa/lib/graph/GraphVisitor.java
1442,openjpa-lib,Identifier,interface,0,30,6,0,openjpa-lib/src/main/java/org/apache/openjpa/lib/identifier/Identifier.java
1443,openjpa-lib,OrderedIterator,interface,0,48,6,0,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/OrderedIterator.java
1444,openjpa-persistence-jdbc,NonpolymorphicType,enum,0,33,6,0,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/NonpolymorphicType.java
1445,openjpa-persistence,OpenJPAEnum,interface,0,54,6,0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/OpenJPAEnum.java
1446,openjpa-persistence,OpenJPACriteriaQuery,interface,0,48,6,0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/OpenJPACriteriaQuery.java
1447,openjpa-persistence,Predicate,interface,0,54,6,0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/Predicate.java
1448,openjpa-persistence,QueryBuilder,interface,0,58,6,0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/QueryBuilder.java
1449,openjpa-jdbc,SchemaFactory,interface,0,43,5,0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaFactory.java
1450,openjpa-kernel,AttachListener,interface,0,38,5,0,openjpa-kernel/src/main/java/org/apache/openjpa/event/AttachListener.java
1451,openjpa-kernel,ClearListener,interface,0,39,5,0,openjpa-kernel/src/main/java/org/apache/openjpa/event/ClearListener.java
1452,openjpa-kernel,DeleteListener,interface,0,39,5,0,openjpa-kernel/src/main/java/org/apache/openjpa/event/DeleteListener.java
1453,openjpa-kernel,DetachListener,interface,0,38,5,0,openjpa-kernel/src/main/java/org/apache/openjpa/event/DetachListener.java
1454,openjpa-kernel,FlushTransactionListener,interface,0,44,5,0,openjpa-kernel/src/main/java/org/apache/openjpa/event/FlushTransactionListener.java
1455,openjpa-kernel,LifecycleListener,interface,0,32,5,0,openjpa-kernel/src/main/java/org/apache/openjpa/event/LifecycleListener.java
